,CVE_ENT,CVE_MUN,POB_NIÑOS,POB_NIÑOS_PER
120,07,094,11934.0,0.24109577971272148
121,07,092,4526.0,0.21123868197517034
122,07,087,9201.0,0.22079573814551737
123,07,009,6786.0,0.16496900449738666
124,07,008,7161.0,0.2241525025824021
125,07,125,2756.0,0.2365665236051502
126,07,114,6128.0,0.25962801338812863
127,07,089,65757.0,0.18590863598581872
128,07,084,1906.0,0.2226375423431842
129,07,083,3932.0,0.2059501361826943
130,07,082,4291.0,0.27651759247325686
131,07,074,9377.0,0.2091726337861652
132,07,068,5935.0,0.1859394091293587
133,07,073,2513.0,0.23127185716915147
134,07,057,17440.0,0.22827822717872195
135,07,065,29052.0,0.21964994518580122
136,07,060,4021.0,0.28542021578648497
137,07,058,1036.0,0.2174186778593914
138,07,059,59791.0,0.25479734595863823
139,07,037,7111.0,0.195717391902678
140,07,035,3141.0,0.21578730420445177
141,07,056,4517.0,0.32838967648127954
142,07,061,20786.0,0.21341519759335503
143,07,064,15995.0,0.2911781839365033
144,07,120,1004.0,0.23267670915411356
145,07,101,97822.0,0.16191754655737758
146,07,099,17249.0,0.20754172131246165
147,07,122,2931.0,0.18804131648168346
148,07,097,16729.0,0.18200907379804815
149,07,096,17033.0,0.2039758098317466
150,07,001,4191.0,0.23291097032344116
151,07,002,4205.0,0.19847076037192618
152,07,003,5413.0,0.20123424662626863
153,07,004,8339.0,0.23061393805309735
154,07,005,6012.0,0.24526762402088773
155,07,006,7006.0,0.22076571608634
156,07,007,2631.0,0.23318266418505718
157,07,102,7744.0,0.18876755070202808
158,07,055,1148.0,0.1953710006807352
159,07,054,5466.0,0.1934867256637168
160,07,053,1749.0,0.2213643842551576
161,07,052,31873.0,0.22600636757500336
162,07,048,4201.0,0.19264456367221533
163,07,047,6576.0,0.2633982215813506
164,07,103,6274.0,0.2070490396673487
165,07,104,3065.0,0.18508454106280192
166,07,106,12856.0,0.19104797004101529
167,07,010,1646.0,0.22348947725729804
168,07,046,7530.0,0.183376762535616
169,07,045,1361.0,0.21658179503500954
170,07,044,6418.0,0.22131797648194765
171,07,011,4417.0,0.2191298308280002
172,07,012,13695.0,0.21189194207203862
173,07,013,8944.0,0.24002361591927648
174,07,014,6411.0,0.26412062785811397
175,07,015,10390.0,0.20733556832694763
176,07,016,3047.0,0.1729383052386628
177,07,019,30787.0,0.1852651975592437
178,07,020,10484.0,0.21001602564102564
179,07,021,4441.0,0.2001171593366979
180,07,043,2361.0,0.21540005473953105
181,07,042,2836.0,0.2492748527731388
182,07,041,9587.0,0.2065763106294038
183,07,040,9865.0,0.1852860523646745
184,07,039,7009.0,0.2512816835765246
185,07,024,4614.0,0.33733001900862697
186,07,025,1617.0,0.21640792291220556
187,07,026,13309.0,0.28095248147600854
188,07,027,21017.0,0.18752621012714699
189,07,028,1092.0,0.17738791423001948
190,07,029,1125.0,0.20825620140688633
191,07,030,8004.0,0.21758869104254452
192,07,031,37636.0,0.27419096326732817
193,07,038,5628.0,0.24496191512513601
194,07,036,1850.0,0.24022854174782496
195,07,032,6614.0,0.21407301916105645
196,07,033,1676.0,0.2313319530710835
197,07,034,17004.0,0.21019320864803392
198,07,075,5971.0,0.20711783273786813
199,07,076,7359.0,0.2462109806283248
200,07,107,13768.0,0.20974056639702635
201,07,108,20752.0,0.18945369558866493
202,07,109,9397.0,0.23326300111704107
203,07,066,7469.0,0.28301314842181047
204,07,071,6102.0,0.20140607980988218
205,07,079,8365.0,0.2001531356925801
206,08,018,804.0,0.15767797607373996
207,08,037,239938.0,0.15864193857648187
208,08,061,393.0,0.11511423550087874
209,08,062,4829.0,0.16171053512825664
210,08,041,261.0,0.20046082949308755
211,08,063,867.0,0.16296992481203007
212,08,067,738.0,0.15455497382198952
213,08,051,1846.0,0.22714408760920388
214,08,050,11138.0,0.1693915106535063
215,08,031,5979.0,0.1685507287232543
216,08,060,2083.0,0.17984804006216543
217,08,057,272.0,0.12380518889394629
218,08,001,3241.0,0.22145541510078579
219,08,053,840.0,0.1643513989434553
220,08,007,3747.0,0.2279197080291971
221,08,055,2570.0,0.15319504053409633
222,08,004,4237.0,0.17404699309891555
223,08,025,1058.0,0.15064787128007973
224,08,023,1557.0,0.23392427884615385
225,08,022,259.0,0.10545602605863193
226,08,021,24518.0,0.16290380449948838
227,08,020,1211.0,0.19463195114111217
228,08,017,30725.0,0.17009156434415793
229,08,016,549.0,0.1482181425485961
230,08,044,714.0,0.16550764951321278
231,08,045,7636.0,0.17024502262947852
232,08,046,1865.0,0.2566749243049821
233,08,047,886.0,0.19923543962221724
234,08,048,3687.0,0.1623370905248327
235,08,015,189.0,0.15365853658536585
236,08,013,2123.0,0.17968683876428268
237,08,012,1811.0,0.22322198939972884
238,08,011,8072.0,0.1630740014949797
239,08,010,4736.0,0.18834009385190487
240,08,009,4528.0,0.19391032503961286
241,08,008,2979.0,0.26433007985803014
242,08,049,474.0,0.1719260065288357
243,08,036,7483.0,0.18314202501284907
244,08,006,892.0,0.153607714826933
245,08,059,855.0,0.17086330935251798
246,08,052,4195.0,0.1709872014347436
247,08,029,12626.0,0.24995050876984598
248,08,002,4486.0,0.17222712788420932
249,08,054,1514.0,0.1967511371020143
250,08,056,256.0,0.12313612313612314
251,08,058,375.0,0.13909495548961423
252,08,065,3884.0,0.22789415009094643
253,08,066,1330.0,0.20423832923832924
254,08,043,406.0,0.14806710430342815
255,08,014,318.0,0.15634218289085547
256,08,003,1287.0,0.15164369034994699
257,08,005,5065.0,0.19411336373740085
258,08,042,132.0,0.11205432937181664
259,08,040,4356.0,0.1732421253579383
260,08,039,667.0,0.16181465308102863
261,08,038,807.0,0.16204819277108434
262,08,035,2286.0,0.2077237619263971
263,08,034,694.0,0.13356428021555042
264,08,033,133.0,0.16140776699029127
265,08,032,19349.0,0.1658552056367969
266,08,030,2002.0,0.244265495363592
267,08,028,664.0,0.15671465659664857
268,08,027,10758.0,0.21438820247110402
269,08,026,281.0,0.1147875816993464
270,08,064,217.0,0.14986187845303867
271,08,024,477.0,0.12582432075969402
272,08,019,137453.0,0.14658932635436198
273,09,017,49907.0,0.1124781385788724
274,09,014,33711.0,0.07764774169474817
275,09,009,23013.0,0.15072207486000588
276,09,008,29282.0,0.11825282083175162
277,09,007,229876.0,0.12523985473057272
278,09,003,57075.0,0.09288840209163687
279,09,011,52812.0,0.13461700224055792
280,09,012,80109.0,0.11445320090066406
281,09,006,43742.0,0.10808633662387725
282,09,013,55775.0,0.12613698555785227
283,09,010,85184.0,0.11221162978487415
284,09,015,53562.0,0.09811974705248734
285,09,005,134896.0,0.11496645078923527
286,09,004,29534.0,0.13567248238288176
287,09,016,40853.0,0.09856684440369629
288,09,002,44480.0,0.10291412639835264
289,10,011,831.0,0.17502106149957877
290,10,012,29191.0,0.17874265980050577
291,10,031,1279.0,0.1901293295674149
292,10,001,5543.0,0.17622559928784892
293,10,005,121053.0,0.1757710575187637
