,CVE_ENT,CVE_MUN,POB_SENIOR,POB_SENIOR_PER
75,06,005,4849.0,0.15508363450283047
76,06,008,1184.0,0.11572671293128726
77,06,002,25213.0,0.16054327339412156
78,06,010,15979.0,0.1066959575860365
79,06,001,3966.0,0.1435604141026569
80,06,003,3253.0,0.15017773879322285
81,06,006,909.0,0.16165747821447626
82,07,078,16605.0,0.0769198699241224
83,07,085,946.0,0.08686868686868687
84,07,017,9942.0,0.1128413501918144
85,07,088,242.0,0.1048526863084922
86,07,067,1030.0,0.08397195499755422
87,07,086,2420.0,0.0944316541148008
88,07,018,978.0,0.09878787878787879
89,07,080,2351.0,0.09064271118479392
90,07,091,1263.0,0.09292230723955268
91,07,093,2916.0,0.060545658402890244
92,07,098,583.0,0.08084870336985162
93,07,100,3373.0,0.08870479947403025
94,07,105,2179.0,0.13611944027986006
95,07,112,1787.0,0.04709075577105513
96,07,049,1553.0,0.049681691672798234
97,07,050,871.0,0.16647553516819572
98,07,051,5501.0,0.11924994580533275
99,07,072,1830.0,0.06174922391685787
100,07,110,626.0,0.08317831517406325
101,07,111,2995.0,0.06600841910387235
102,07,124,2220.0,0.09309347087683985
103,07,123,1316.0,0.12204395808216638
104,07,023,6657.0,0.06528582776780723
105,07,113,398.0,0.04693396226415095
106,07,115,908.0,0.061709936115264374
107,07,077,5663.0,0.08813870601235778
108,07,117,633.0,0.07524964336661912
109,07,118,339.0,0.0560608566231189
110,07,121,558.0,0.06400550584996559
111,07,070,1179.0,0.09614286879230205
112,07,063,373.0,0.09364800401707256
113,07,081,2963.0,0.05597430811372438
114,07,069,6939.0,0.13554587541265406
115,07,116,819.0,0.06352776915916848
116,07,090,533.0,0.11722014515064878
117,07,022,858.0,0.039151266255989046
118,07,062,1775.0,0.09610699009150468
119,07,119,208.0,0.04194394031054648
120,07,094,3513.0,0.07097113072991373
121,07,092,2460.0,0.1148137776533184
122,07,087,3620.0,0.08686888078325974
123,07,009,6068.0,0.14751428224140026
124,07,008,2768.0,0.08664350330234451
125,07,125,961.0,0.08248927038626609
126,07,114,1509.0,0.06393255094691352
127,07,089,37919.0,0.10720485374859347
128,07,084,856.0,0.09998831912159795
129,07,083,1974.0,0.10339409176618479
130,07,082,804.0,0.05181080036087125
131,07,074,4303.0,0.09598697271855272
132,07,068,3633.0,0.11381935524295873
133,07,073,819.0,0.07537272225289895
134,07,057,7378.0,0.09657320872274143
135,07,065,10571.0,0.07992288209276831
136,07,060,1089.0,0.07729982964224873
137,07,058,334.0,0.07009443861490032
138,07,059,13329.0,0.056801087526261285
139,07,037,4157.0,0.11441389370544684
140,07,035,1547.0,0.10627919758175323
141,07,056,572.0,0.0415848782260996
142,07,061,8417.0,0.08641949957390885
143,07,064,3574.0,0.06506225879268915
144,07,120,316.0,0.07323290845886443
145,07,101,65271.0,0.10803827545282853
146,07,099,8950.0,0.1076873097423927
147,07,122,2005.0,0.1286328350548534
148,07,097,11637.0,0.1266088583769434
149,07,096,6061.0,0.07258248009101251
150,07,001,1839.0,0.10220073357785929
151,07,002,2424.0,0.11440977958181904
152,07,003,3358.0,0.12483735454849623
153,07,004,2223.0,0.06147676991150443
154,07,005,1818.0,0.0741677545691906
155,07,006,3348.0,0.10549866078462265
156,07,007,844.0,0.07480280067357972
157,07,102,4878.0,0.1189060062402496
158,07,055,707.0,0.12031994554118448
159,07,054,3442.0,0.12184070796460177
160,07,053,1006.0,0.12732565498038223
161,07,052,10076.0,0.07144731150772547
162,07,048,2789.0,0.12789471270692898
163,07,047,1431.0,0.057317952415284784
164,07,103,3395.0,0.11203880931951686
165,07,104,1900.0,0.11473429951690821
166,07,106,6929.0,0.1029691493788266
167,07,010,741.0,0.10061099796334012
168,07,046,6155.0,0.1498916299344909
169,07,045,590.0,0.09388924252068746
170,07,044,2160.0,0.07448532708024415
171,07,011,2227.0,0.1104827107208414
172,07,012,5020.0,0.07767050377521971
173,07,013,2210.0,0.059308160910286345
174,07,014,1336.0,0.055040580068388745
175,07,015,5653.0,0.11280731162196679
176,07,016,2738.0,0.15540042000113513
177,07,019,16157.0,0.09722706976856142
178,07,020,5114.0,0.10244391025641025
179,07,021,2684.0,0.12094448449891852
180,07,043,1096.0,0.09999087674482256
181,07,042,964.0,0.08473235475081305
182,07,041,4105.0,0.08845267081816027
183,07,040,6170.0,0.11588595469741933
184,07,039,2100.0,0.07528770659305202
185,07,024,804.0,0.058780523468343324
186,07,025,799.0,0.10693254817987152
187,07,026,2248.0,0.04745519410609867
188,07,027,10411.0,0.092893151907205
189,07,028,704.0,0.11435997400909681
190,07,029,582.0,0.10773787486116253
191,07,030,3590.0,0.09759412804132118
192,07,031,7276.0,0.05300811586600807
193,07,038,2017.0,0.08779107725788901
194,07,036,740.0,0.09609141669912999
195,07,032,3653.0,0.11823537027446919
196,07,033,554.0,0.07646652864044168
197,07,034,7684.0,0.09498498090164036
198,07,075,2658.0,0.09219882756946131
199,07,076,2307.0,0.07718558667068152
200,07,107,7093.0,0.10805417180811358
201,07,108,12369.0,0.1129217791411043
202,07,109,3281.0,0.08144470646642671
203,07,066,1373.0,0.05202531165927778
204,07,071,3527.0,0.1164141664191174
205,07,079,3715.0,0.08889048405235327
206,08,018,984.0,0.19297901549323396
207,08,037,134989.0,0.08925187609507752
208,08,061,867.0,0.2539543057996485
209,08,062,4481.0,0.1500569285379412
210,08,041,203.0,0.15591397849462366
211,08,063,1081.0,0.2031954887218045
212,08,067,1055.0,0.22094240837696336
213,08,051,818.0,0.10065214716377507
214,08,050,8103.0,0.12323392088573905
215,08,031,5786.0,0.16310997096383165
216,08,060,1762.0,0.15213261958211016
217,08,057,572.0,0.2603550295857988
218,08,001,1403.0,0.09586607447898872
219,08,053,811.0,0.1586773625513598
220,08,007,1839.0,0.11186131386861314
221,08,055,2498.0,0.1489031950405341
222,08,004,1108.0,0.04551429510351627
223,08,025,1432.0,0.20390146660971095
224,08,023,618.0,0.0928485576923077
225,08,022,846.0,0.34446254071661236
226,08,021,19240.0,0.1278354351321542
227,08,020,794.0,0.12761170041787206
228,08,017,20497.0,0.1134700339906332
229,08,016,629.0,0.16981641468682504
230,08,044,787.0,0.18242929995363932
231,08,045,5918.0,0.13194212204311864
232,08,046,718.0,0.09881640517478668
233,08,047,575.0,0.12930065212502811
234,08,048,4403.0,0.19386227544910178
235,08,015,255.0,0.2073170731707317
236,08,013,1682.0,0.14236140499365213
237,08,012,1207.0,0.14877357327745594
238,08,011,6747.0,0.1363057839552314
