,CVE_ENT,CVE_MUN,POB
462,13,066,13032.0
463,13,071,9086.0
464,13,060,17503.0
465,13,059,38010.0
466,13,058,17441.0
467,13,037,20962.0
468,13,038,8878.0
469,13,026,12766.0
470,13,050,23641.0
471,13,027,22846.0
472,13,070,19067.0
473,13,031,12290.0
474,13,057,15142.0
475,13,016,60421.0
476,13,015,19431.0
477,13,014,16150.0
478,13,013,62470.0
479,13,056,39561.0
480,13,019,18909.0
481,13,032,10523.0
482,13,041,47222.0
483,13,079,7015.0
484,13,080,24674.0
485,13,069,168302.0
486,13,074,28626.0
487,13,042,11578.0
488,13,040,9819.0
489,13,039,14324.0
490,13,044,16948.0
491,13,005,18872.0
492,13,004,10313.0
493,13,024,17607.0
494,13,017,12967.0
495,13,054,36796.0
496,13,053,17699.0
497,13,052,38891.0
498,13,023,36248.0
499,13,075,21362.0
500,13,051,202749.0
501,13,084,39927.0
502,13,076,115107.0
503,13,083,57906.0
504,13,045,9295.0
505,13,046,38492.0
506,13,082,21443.0
507,13,081,38155.0
508,13,047,4748.0
509,13,068,14340.0
510,13,022,16285.0
511,13,021,15175.0
512,13,055,18329.0
513,13,048,314331.0
514,13,020,2593.0
515,13,018,22903.0
516,13,067,55134.0
517,13,049,18723.0
518,13,077,168369.0
519,13,064,10830.0
520,13,034,9474.0
521,13,006,19162.0
522,13,001,22268.0
523,13,011,19812.0
524,13,012,30135.0
525,13,061,56245.0
526,13,007,12546.0
527,13,073,37722.0
528,13,002,46065.0
529,13,003,61002.0
530,13,062,31235.0
531,13,063,90546.0
532,13,078,18260.0
533,13,028,126781.0
534,13,072,11113.0
535,13,043,6265.0
536,13,035,13078.0
537,13,033,2895.0
538,13,029,47425.0
539,14,113,16548.0
540,14,057,4099.0
541,14,056,1815.0
542,14,054,5368.0
543,14,053,172403.0
544,14,052,5534.0
545,14,051,30855.0
546,14,050,47105.0
547,14,031,3270.0
548,14,049,9425.0
549,14,048,18982.0
550,14,047,24894.0
551,14,046,32678.0
552,14,045,20465.0
553,14,044,67969.0
554,14,042,10015.0
555,14,041,5920.0
556,14,040,8732.0
557,14,039,1385629.0
558,14,038,4199.0
559,14,037,25920.0
560,14,036,20011.0
561,14,019,7043.0
562,14,001,23175.0
563,14,004,5743.0
564,14,006,60386.0
565,14,007,9433.0
566,14,008,80609.0
567,14,009,21115.0
568,14,035,53039.0
569,14,011,5599.0
570,14,016,41552.0
571,14,018,67937.0
572,14,020,10940.0
573,14,021,20548.0
574,14,022,40139.0
575,14,023,115141.0
576,14,024,29267.0
577,14,026,6334.0
578,14,029,17820.0
579,14,030,55196.0
580,14,032,5983.0
581,14,033,21226.0
582,14,034,1981.0
583,14,069,7734.0
584,14,123,19279.0
585,14,094,44353.0
586,14,095,9647.0
587,14,096,22758.0
588,14,097,727750.0
589,14,090,7302.0
590,14,091,39839.0
591,14,092,11039.0
592,14,122,7466.0
593,14,121,33713.0
594,14,120,1476491.0
595,14,119,30472.0
596,14,118,22394.0
597,14,117,4388.0
598,14,116,20088.0
599,14,093,150190.0
600,14,098,687127.0
601,14,099,11219.0
602,14,100,36316.0
603,14,101,569913.0
604,14,102,5961.0
605,14,103,7565.0
606,14,104,4180.0
607,14,105,23573.0
608,14,065,11386.0
609,14,017,12880.0
610,14,124,64806.0
611,14,012,4176.0
612,14,106,5482.0
613,14,107,6702.0
614,14,108,37518.0
615,14,109,19069.0
616,14,110,13799.0
617,14,111,6627.0
618,14,112,6151.0
619,14,114,19063.0
620,14,115,5525.0
621,14,075,3791.0
622,14,077,28102.0
623,14,078,31965.0
624,14,079,16431.0
625,14,073,72230.0
626,14,074,16792.0
627,14,076,3095.0
628,14,014,8689.0
629,14,015,64931.0
630,14,043,23258.0
631,14,055,21781.0
632,14,086,21245.0
