,ENTIDAD,MUNICIPIO,PIB_PER_CAPITA_MUNICIPAL
16983,9,17,62712645.90682081
16984,9,17,62712645.90682081
16985,9,17,62712645.90682081
16986,9,17,62712645.90682081
16987,9,17,62712645.90682081
16988,9,17,62712645.90682081
16989,9,17,62712645.90682081
16990,9,17,62712645.90682081
16991,9,17,62712645.90682081
16992,9,17,62712645.90682081
16993,9,17,62712645.90682081
16994,9,17,62712645.90682081
16995,9,17,62712645.90682081
16996,9,17,62712645.90682081
16997,9,17,62712645.90682081
16998,9,17,62712645.90682081
16999,9,17,62712645.90682081
17000,9,17,62712645.90682081
17001,9,17,62712645.90682081
17002,9,17,62712645.90682081
17003,9,17,62712645.90682081
17004,9,17,62712645.90682081
17005,9,17,62712645.90682081
17006,9,17,62712645.90682081
17007,9,17,62712645.90682081
17008,9,17,62712645.90682081
17009,9,17,62712645.90682081
17010,9,17,62712645.90682081
17011,9,17,62712645.90682081
17012,10,1,11627411.850418737
17013,10,1,11627411.850418737
17014,10,1,11627411.850418737
17015,10,1,11627411.850418737
17016,10,1,11627411.850418737
17017,10,1,11627411.850418737
17018,10,1,11627411.850418737
17019,10,1,11627411.850418737
17020,10,1,11627411.850418737
17021,10,1,11627411.850418737
17022,10,1,11627411.850418737
17023,10,1,11627411.850418737
17024,10,1,11627411.850418737
17025,10,1,11627411.850418737
17026,10,1,11627411.850418737
17027,10,1,11627411.850418737
17028,10,1,11627411.850418737
17029,10,1,11627411.850418737
17030,10,1,11627411.850418737
17031,10,1,11627411.850418737
17032,10,1,11627411.850418737
17033,10,1,11627411.850418737
17034,10,1,11627411.850418737
17035,10,1,11627411.850418737
17036,10,1,11627411.850418737
17037,10,1,11627411.850418737
17038,10,1,11627411.850418737
17039,10,1,11627411.850418737
17040,10,1,11627411.850418737
17041,10,1,11627411.850418737
17042,10,1,11627411.850418737
17043,10,1,11627411.850418737
17044,10,1,11627411.850418737
17045,10,1,11627411.850418737
17046,10,1,11627411.850418737
17047,10,1,11627411.850418737
17048,10,1,11627411.850418737
17049,10,2,85574699.26190533
17050,10,2,85574699.26190533
17051,10,2,85574699.26190533
17052,10,2,85574699.26190533
17053,10,2,85574699.26190533
17054,10,2,85574699.26190533
17055,10,2,85574699.26190533
17056,10,2,85574699.26190533
17057,10,2,85574699.26190533
17058,10,2,85574699.26190533
17059,10,2,85574699.26190533
17060,10,2,85574699.26190533
17061,10,2,85574699.26190533
17062,10,3,89409216.88309257
17063,10,3,89409216.88309257
17064,10,3,89409216.88309257
17065,10,3,89409216.88309257
17066,10,3,89409216.88309257
17067,10,3,89409216.88309257
17068,10,3,89409216.88309257
17069,10,3,89409216.88309257
17070,10,3,89409216.88309257
17071,10,4,10446209.176099272
17072,10,4,10446209.176099272
17073,10,4,10446209.176099272
17074,10,4,10446209.176099272
17075,10,4,10446209.176099272
17076,10,4,10446209.176099272
17077,10,4,10446209.176099272
17078,10,4,10446209.176099272
17079,10,4,10446209.176099272
17080,10,4,10446209.176099272
17081,10,4,10446209.176099272
17082,10,4,10446209.176099272
17083,10,4,10446209.176099272
17084,10,4,10446209.176099272
17085,10,4,10446209.176099272
17086,10,4,10446209.176099272
17087,10,4,10446209.176099272
17088,10,4,10446209.176099272
17089,10,4,10446209.176099272
17090,10,4,10446209.176099272
17091,10,4,10446209.176099272
17092,10,4,10446209.176099272
17093,10,4,10446209.176099272
17094,10,4,10446209.176099272
17095,10,4,10446209.176099272
17096,10,4,10446209.176099272
17097,10,4,10446209.176099272
17098,10,4,10446209.176099272
17099,10,4,10446209.176099272
17100,10,4,10446209.176099272
17101,10,4,10446209.176099272
17102,10,4,10446209.176099272
17103,10,4,10446209.176099272
17104,10,4,10446209.176099272
17105,10,4,10446209.176099272
17106,10,4,10446209.176099272
17107,10,4,10446209.176099272
17108,10,5,529936.2036319373
17109,10,5,529936.2036319373
17110,10,5,529936.2036319373
17111,10,5,529936.2036319373
17112,10,5,529936.2036319373
17113,10,5,529936.2036319373
17114,10,5,529936.2036319373
17115,10,5,529936.2036319373
17116,10,5,529936.2036319373
17117,10,5,529936.2036319373
17118,10,5,529936.2036319373
17119,10,5,529936.2036319373
17120,10,5,529936.2036319373
17121,10,5,529936.2036319373
17122,10,5,529936.2036319373
17123,10,5,529936.2036319373
17124,10,5,529936.2036319373
17125,10,5,529936.2036319373
17126,10,5,529936.2036319373
17127,10,5,529936.2036319373
17128,10,5,529936.2036319373
17129,10,5,529936.2036319373
17130,10,5,529936.2036319373
17131,10,5,529936.2036319373
17132,10,5,529936.2036319373
17133,10,5,529936.2036319373
17134,10,5,529936.2036319373
17135,10,5,529936.2036319373
17136,10,5,529936.2036319373
17137,10,5,529936.2036319373
17138,10,5,529936.2036319373
17139,10,5,529936.2036319373
17140,10,5,529936.2036319373
17141,10,5,529936.2036319373
17142,10,5,529936.2036319373
17143,10,5,529936.2036319373
17144,10,5,529936.2036319373
17145,10,5,529936.2036319373
17146,10,5,529936.2036319373
17147,10,5,529936.2036319373
17148,10,5,529936.2036319373
17149,10,5,529936.2036319373
17150,10,5,529936.2036319373
17151,10,5,529936.2036319373
17152,10,5,529936.2036319373
17153,10,5,529936.2036319373
17154,10,5,529936.2036319373
17155,10,5,529936.2036319373
17156,10,5,529936.2036319373
17157,10,5,529936.2036319373
17158,10,5,529936.2036319373
17159,10,5,529936.2036319373
17160,10,5,529936.2036319373
17161,10,5,529936.2036319373
17162,10,5,529936.2036319373
17163,10,5,529936.2036319373
17164,10,5,529936.2036319373
17165,10,5,529936.2036319373
17166,10,5,529936.2036319373
17167,10,5,529936.2036319373
17168,10,5,529936.2036319373
17169,10,5,529936.2036319373
17170,10,5,529936.2036319373
17171,10,5,529936.2036319373
17172,10,5,529936.2036319373
17173,10,5,529936.2036319373
17174,10,5,529936.2036319373
17175,10,5,529936.2036319373
17176,10,5,529936.2036319373
17177,10,5,529936.2036319373
17178,10,5,529936.2036319373
17179,10,5,529936.2036319373
17180,10,5,529936.2036319373
17181,10,5,529936.2036319373
17182,10,5,529936.2036319373
17183,10,5,529936.2036319373
17184,10,5,529936.2036319373
17185,10,5,529936.2036319373
17186,10,5,529936.2036319373
17187,10,5,529936.2036319373
17188,10,5,529936.2036319373
17189,10,5,529936.2036319373
17190,10,5,529936.2036319373
17191,10,5,529936.2036319373
17192,10,5,529936.2036319373
